Date,Open,High,Low,Close,Adj Close,Volume,percentage
2000-01-04,6.000.000.000,6.110.000.000,5.660.000.000,6.110.000.000,4.449.709.961,74195000,"8086,80%"
2000-01-05,5.800.000.000,6.060.000.000,5.520.000.000,5.580.000.000,4.063.728.760,74680000,"7766,47%"
2000-01-06,5.750.000.000,5.780.000.000,5.580.000.000,5.620.000.000,4.092.859.863,54390000,"10571,80%"
2000-01-07,5.560.000.000,5.670.000.000,5.360.000.000,5.540.000.000,4.034.598.877,40305000,"13794,81%"
2000-01-10,5.600.000.000,5.770.000.000,5.580.000.000,5.770.000.000,4.202.098.145,46880000,"11945,39%"
2000-01-11,5.820.000.000,6.100.000.000,5.770.000.000,5.770.000.000,4.202.098.145,59745000,"9741,40%"
2000-01-12,5.610.000.000,5.740.000.000,5.600.000.000,5.720.000.000,4.165.683.594,29220000,"19199,18%"
2000-01-13,5.600.000.000,5.740.000.000,5.560.000.000,5.710.000.000,4.158.403.320,41190000,"13595,53%"
2000-01-14,5.720.000.000,5.880.000.000,5.680.000.000,5.830.000.000,4.245.795.410,49375000,"11584,81%"
2000-01-17,6.000.000.000,6.180.000.000,5.920.000.000,6.100.000.000,4.442.427.734,63505000,"9448,07%"
2000-01-18,6.160.000.000,6.160.000.000,5.980.000.000,6.100.000.000,4.442.427.734,45260000,"13610,25%"
2000-01-19,6.000.000.000,6.040.000.000,5.960.000.000,5.960.000.000,4.340.471.680,40205000,"14923,52%"
2000-01-20,5.860.000.000,6.040.000.000,5.820.000.000,6.040.000.000,4.398.731.934,37315000,"15704,14%"
2000-01-21,5.950.000.000,5.980.000.000,5.880.000.000,5.880.000.000,4.282.211.426,32535000,"18288,00%"
2000-01-24,5.800.000.000,5.900.000.000,5.700.000.000,5.700.000.000,4.151.122.070,34355000,"16882,55%"
2000-01-25,5.520.000.000,5.640.000.000,5.440.000.000,5.440.000.000,3.961.772.461,44250000,"12474,58%"
2000-01-26,5.500.000.000,5.520.000.000,5.410.000.000,5.480.000.000,3.990.903.076,29285000,"18780,95%"
2000-01-27,5.480.000.000,5.620.000.000,5.430.000.000,5.520.000.000,4.020.032.227,27900000,"19641,58%"
2000-01-28,5.640.000.000,5.880.000.000,5.540.000.000,5.820.000.000,4.238.513.184,38315000,"14720,08%"
2000-01-31,5.640.000.000,5.730.000.000,5.560.000.000,5.580.000.000,4.063.728.760,39630000,"14231,64%"
2000-02-01,5.600.000.000,5.680.000.000,5.260.000.000,5.320.000.000,3.874.381.104,71470000,"7835,46%"
2000-02-02,5.220.000.000,5.370.000.000,5.110.000.000,5.250.000.000,3.823.400.879,64105000,"8142,89%"
2000-02-03,5.250.000.000,5.460.000.000,4.970.000.000,5.130.000.000,3.736.008.545,142765000,"3677,37%"
2000-02-04,5.130.000.000,5.130.000.000,5.130.000.000,5.130.000.000,3.736.008.545,1000,"513000000,00%"
2000-02-07,5.140.000.000,5.330.000.000,5.040.000.000,5.240.000.000,3.816.118.652,64140000,"8013,72%"
2000-02-08,5.340.000.000,5.480.000.000,5.310.000.000,5.430.000.000,3.954.488.037,58460000,"9134,45%"
2000-02-09,5.560.000.000,5.720.000.000,5.480.000.000,5.720.000.000,4.165.683.594,51050000,"10891,28%"
2000-02-10,5.660.000.000,5.880.000.000,5.600.000.000,5.760.000.000,4.194.814.941,61845000,"9151,91%"
2000-02-11,5.960.000.000,5.960.000.000,5.680.000.000,5.700.000.000,4.151.122.070,34660000,"17195,61%"
2000-02-14,5.600.000.000,5.660.000.000,5.340.000.000,5.380.000.000,3.918.075.684,44140000,"12686,91%"
2000-02-15,5.380.000.000,5.420.000.000,5.140.000.000,5.200.000.000,3.786.986.816,38315000,"14041,50%"
2000-02-16,5.180.000.000,5.200.000.000,4.780.000.000,5.000.000.000,3.641.333.740,73115000,"7084,73%"
2000-02-17,4.940.000.000,5.100.000.000,4.910.000.000,5.080.000.000,3.699.595.215,65185000,"7578,43%"
